GeneName	4R07C00CMN09NSFBV	4R08C69DMN09NSFBV	4R16C59DMN09NSFBV	FN_2R14C31CMN09NSFBV	FN_2R25C06CMN09NSFBV	FN_6R42C96DMN09NSFBV	M92-220-01	M92-220-02	M92-220-05	M92-220-06	M92-220-07
GmISU01.01G000050	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000150	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000300	4	1	1	2	3	5	11	4	1	3	3
GmISU01.01G000400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000500	2	1	4	3	0	2	4	3	1	3	5
GmISU01.01G000600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G001000	0	0	0	0	0	0	0	0	2	0	0
GmISU01.01G001100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G001200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G001300	0	3	1	2	0	0	2	3	0	0	1
GmISU01.01G001400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G001500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G001600	103	60	87	124	44	131	140	148	84	111	126
GmISU01.01G001700	5	16	4	26	1	18	3	3	2	9	13
GmISU01.01G001800	4	0	1	0	1	1	2	3	2	0	0
GmISU01.01G001900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G002000	6	15	17	19	2	12	22	12	19	13	12
GmISU01.01G002100	16	22	22	27	3	14	24	27	25	18	19
GmISU01.01G002200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G002300	0	0	0	0	1	0	0	0	0	0	1
GmISU01.01G002400	0	1	0	2	0	3	0	1	0	0	0
GmISU01.01G002500	0	1	0	0	0	0	2	1	0	0	0
GmISU01.01G002601	15	47	32	30	18	18	41	32	7	7	5
GmISU01.01G002700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G002800	0	0	0	0	0	0	0	0	0	0	1
GmISU01.01G002900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G003000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G003100	785	1783	1376	1795	486	1050	1741	1622	418	382	531
GmISU01.01G003200	0	0	1	0	0	0	0	0	0	0	0
GmISU01.01G003300	25	35	26	55	8	28	46	41	29	40	35
GmISU01.01G003400	17	31	52	42	16	31	49	52	10	19	15
GmISU01.01G003500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G003600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G003700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G003800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G003900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004800	0	0	0	0	0	1	1	0	0	1	1
GmISU01.01G004900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G005000	3	2	6	7	0	4	7	4	0	1	1
GmISU01.01G005100	1	0	1	0	0	0	0	0	0	0	0
GmISU01.01G005200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G005300	41	162	92	115	38	66	165	138	57	89	103
GmISU01.01G005400	32	49	57	42	17	40	84	83	17	33	20
GmISU01.01G005500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G005600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G005700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G005800	0	0	1	0	0	0	0	0	0	0	0
GmISU01.01G005900	4	1	1	2	0	2	0	1	2	0	2
GmISU01.01G006000	6	6	5	11	2	5	8	7	0	1	6
GmISU01.01G006100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G006200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G006300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G006400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G006500	0	0	0	0	0	0	0	1	0	0	0
GmISU01.01G006600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G006700	1	0	0	0	0	0	0	0	0	0	0
GmISU01.01G006800	0	0	0	0	0	0	0	0	0	4	0
GmISU01.01G006900	0	0	0	1	0	0	0	0	0	0	0
GmISU01.01G007000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G007100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G007200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G007300	0	0	0	1	0	0	0	0	0	1	0
GmISU01.01G007400	1	0	0	0	0	0	0	0	0	0	0
GmISU01.01G007500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G007600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G007700	0	0	2	0	0	0	0	1	0	0	0
GmISU01.01G007800	18	55	43	45	25	26	53	43	13	15	29
GmISU01.01G007900	0	1	0	0	0	0	0	0	0	0	0
GmISU01.01G008000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G008100	0	0	0	0	0	0	0	0	0	1	0
GmISU01.01G008200	0	3	1	2	2	0	2	2	1	2	0
GmISU01.01G008300	9	4	4	4	4	10	14	26	3	2	7
GmISU01.01G008400	13	10	5	6	6	13	16	9	9	10	17
GmISU01.01G008500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G008600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G008700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G008800	377	762	651	614	242	387	939	955	55	92	147
GmISU01.01G008900	73	61	84	96	27	69	100	89	102	84	82
GmISU01.01G008950	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G009000	0	1	0	0	0	0	0	0	2	0	0
GmISU01.01G009100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G009200	1	0	1	2	1	1	1	2	0	1	0
GmISU01.01G009300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G009400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G009500	0	1	0	0	0	0	0	0	0	0	0
GmISU01.01G009600	0	1	1	2	0	2	5	5	2	4	1
GmISU01.01G009700	1	3	0	5	2	2	9	2	2	5	7
GmISU01.01G009800	68	148	124	119	31	66	141	124	52	54	50
GmISU01.01G009900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010200	0	0	0	1	0	1	0	2	0	0	1
GmISU01.01G010300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G010800	0	1	2	1	0	0	0	0	0	0	0
GmISU01.01G010900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G011000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G011100	0	0	0	1	0	0	1	2	0	0	0
GmISU01.01G011200	2	2	0	2	3	1	0	0	0	1	2
GmISU01.01G011300	9	11	8	10	2	5	10	9	2	3	2
GmISU01.01G011400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G011500	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G011600	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G011700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G011800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G011900	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G011950	0	0	0	0	0	0	0	1	0	0	0
GmISU01.01G012000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G012100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G012200	4	0	2	0	0	1	5	4	0	0	0
GmISU01.01G012300	18	21	30	31	15	21	39	33	29	34	23
GmISU01.01G012400	0	0	0	0	0	0	0	0	1	0	0
GmISU01.01G012500	0	0	0	0	0	1	0	0	0	0	0
GmISU01.01G012600	0	0	1	0	0	0	0	1	0	0	0
GmISU01.01G012700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G012800	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G012900	13	15	19	14	9	10	31	10	14	15	18
GmISU01.01G013000	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G013100	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G013200	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G013300	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G013400	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G013500	53	70	46	60	22	48	73	63	35	49	45
GmISU01.01G013600	6	6	5	8	0	7	3	3	1	2	6
GmISU01.01G013700	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G013800	0	0	0	0	0	0	0	0	0	0	0
