GeneName	3MT_2-3	3MT_4-3	3MT_5-4	3MT_7-2	3MT_8-2	3MT_9-3	3MT_10-4	3MT_11-3	3MT_12-3	6MT_1-3	6MT_2-2	6MT_3-3	6MT_4-4	6MT_5-4	6MT_6-3	6MT_6-4	6MT_6-5	6MT_8-4	6MT_9-3	Jack-01	Jack-02_B03	Jack-02_B07	Jack-04	Jack-05
GmISU01.01G000050	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000300	3	5	2	3	1	3	1	2	3	4	2	4	8	11	3	9	2	15	7	2	5	8	6	0
GmISU01.01G000400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000500	5	4	2	2	1	2	0	3	3	0	3	0	1	8	0	0	0	1	0	1	3	2	2	0
GmISU01.01G000600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G000900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G001000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GmISU01.01G001100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G001200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G001300	1	0	1	1	0	0	0	0	2	0	0	3	1	7	2	0	0	0	2	0	1	1	1	0
GmISU01.01G001400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G001500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G001600	65	175	99	84	121	153	137	92	119	148	118	169	131	97	176	73	193	173	85	209	203	218	158	161
GmISU01.01G001700	1	20	16	8	32	39	18	14	14	34	13	27	10	7	8	9	13	16	7	18	11	11	23	18
GmISU01.01G001800	2	0	0	0	0	1	0	1	4	0	3	2	1	3	2	2	0	1	1	0	1	1	4	2
GmISU01.01G001900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G002000	11	12	17	21	10	26	16	25	22	17	9	17	12	21	14	27	16	17	31	12	25	27	15	18
GmISU01.01G002100	27	28	32	17	14	40	33	18	33	27	34	35	52	44	48	29	50	36	27	14	19	33	27	22
GmISU01.01G002200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G002300	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
GmISU01.01G002400	0	0	1	1	0	0	0	0	0	1	0	1	0	1	0	4	0	1	4	0	0	1	0	1
GmISU01.01G002500	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1
GmISU01.01G002601	27	16	33	35	13	17	10	25	35	18	6	26	17	76	22	97	12	28	78	14	36	45	25	23
GmISU01.01G002700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G002800	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G002900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G003000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G003100	1517	1323	1605	1851	997	1807	1089	1500	1904	1849	1013	1756	1200	2393	1377	3139	1015	1844	2635	1121	2079	2258	1856	1661
GmISU01.01G003200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G003300	13	28	18	20	33	30	19	25	28	24	10	33	23	28	27	30	50	34	46	32	36	45	34	30
GmISU01.01G003400	19	26	20	40	25	20	16	35	22	23	14	31	20	36	23	34	19	22	23	26	44	52	41	41
GmISU01.01G003500	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GmISU01.01G003600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GmISU01.01G003700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G003800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G003900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GmISU01.01G004800	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	2	0
GmISU01.01G004900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
