"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"GmISU01.12G090800.v2.1"	-3.81614358485636	5.43846492928303	58.901692869713	3.48652455844824e-08	0.000147793776032621
"GmISU01.07G183100.v2.1"	-6.00796772911341	3.82652121979653	61.1038304605426	7.74915315847323e-08	0.00016424330119384
"GmISU01.08G134100.v2.1"	2.02038750679685	4.44152362844776	35.7755858980935	2.44770970331755e-06	0.0034586138107877
"GmISU01.17G184700.v2.1"	1.03688667673004	6.43131934402231	31.4347047222389	6.51965842897169e-06	0.00690920802010275
"GmISU01.11G019600.v2.1"	-1.06010444772494	10.8701614587211	29.4047754840694	1.05879281467222e-05	0.00777036325145734
"GmISU01.12G112100.v2.1"	-3.61153613754846	3.81331117464807	29.2487526636849	1.09983910140939e-05	0.00777036325145734
"GmISU01.14G117800.v2.1"	-3.94072536652395	5.50751473112132	27.5719219814914	1.66726355540011e-05	0.0100964717304873
"GmISU01.20G076100.v2.1"	0.874253010612523	4.97780187853867	25.09814824659	3.16012540579118e-05	0.016744714493936
"GmISU01.07G197900.v2.1"	1.18070054474431	7.63844633609367	24.1258390717312	4.09981187156813e-05	0.0193101139150859
"GmISU01.01G140000.v2.1"	0.766034534821783	6.28915743011288	23.3989590005772	4.99822941604739e-05	0.0203570644231509
"GmISU01.18G189900.v2.1"	1.6721720616653	4.79138302965749	23.130432996437	5.38204173366632e-05	0.0203570644231509
"GmISU01.09G183000.v2.1"	1.56824869934234	5.24440356343127	22.8837220850476	5.76279247647584e-05	0.0203570644231509
"GmISU01.06G056100.v2.1"	0.935037916383004	5.0944728250672	22.3234443046164	6.73980619016361e-05	0.0219769526462335
"GmISU01.16G029600.v2.1"	1.20363087457896	4.71602706910602	21.1871485843203	9.31571281638083e-05	0.0282066475918845
"GmISU01.17G079500.v2.1"	-4.98671261623859	4.96529893403956	20.9223116209182	0.000100577450969083	0.0284231876438627
"GmISU01.06G015600.v2.1"	1.70819118184095	7.63184256527858	18.1466444577506	0.000231248384587476	0.0612663688916444
"GmISU01.03G175500.v2.1"	0.692641030405152	6.18483000972912	17.247093475143	0.000306622222317267	0.074661478325565
"GmISU01.09G047900.v2.1"	1.00509656152526	6.64124653268012	17.1419633656578	0.000317033878240191	0.074661478325565
"GmISU01.05G157100.v2.1"	0.727838357851673	5.02997590762243	16.1193315365738	0.000440802015310164	0.0983452496263046
"GmISU01.17G065300.v2.1"	0.88101708246834	4.8606158976151	15.8247277361303	0.000485507727402997	0.0994626151752217
