GeneName	NMU_14204	NMU_16331	NMU_20728	NMU_20732	Williams-82-ISU-01-01	Williams-82-ISU-01-02	Williams-82-ISU-01-03	Williams-82-ISU-01-04	Williams-82-ISU-01-05
GmISU01.01G000050	0	0	0	0	0	0	0	0	0
GmISU01.01G000100	0	0	0	0	0	0	0	0	0
GmISU01.01G000150	0	0	0	0	0	0	0	0	0
GmISU01.01G000200	0	0	0	0	0	0	0	0	0
GmISU01.01G000300	3	4	1	4	11	4	2	15	12
GmISU01.01G000400	0	0	0	0	0	0	0	0	0
GmISU01.01G000500	2	1	0	1	6	2	2	3	3
GmISU01.01G000600	0	0	0	0	0	0	0	0	0
GmISU01.01G000700	0	0	0	0	0	0	0	0	0
GmISU01.01G000800	0	0	0	0	0	0	0	0	0
GmISU01.01G000900	0	0	0	0	0	0	0	0	0
GmISU01.01G001000	0	0	0	0	0	0	0	0	0
GmISU01.01G001100	0	0	0	0	0	0	0	0	0
GmISU01.01G001200	1	0	0	0	0	0	0	0	0
GmISU01.01G001300	0	0	0	0	0	1	1	2	0
GmISU01.01G001400	0	0	0	0	0	0	0	0	0
GmISU01.01G001500	0	0	0	0	0	0	0	0	0
GmISU01.01G001600	177	150	199	138	168	140	151	60	123
GmISU01.01G001700	25	8	23	17	15	7	12	6	9
GmISU01.01G001800	0	1	0	1	3	2	2	2	1
GmISU01.01G001900	0	0	0	0	0	0	0	0	0
GmISU01.01G002000	13	11	26	10	20	12	16	11	19
GmISU01.01G002100	12	8	20	12	14	24	12	12	21
GmISU01.01G002200	0	0	0	0	0	0	0	0	0
GmISU01.01G002300	0	0	0	0	0	0	0	0	0
GmISU01.01G002400	0	0	1	0	4	0	0	5	6
GmISU01.01G002500	1	1	0	0	1	0	0	1	0
GmISU01.01G002601	18	21	12	10	31	27	18	52	50
GmISU01.01G002700	0	0	0	0	0	0	0	0	0
GmISU01.01G002800	0	0	0	0	0	0	0	0	0
GmISU01.01G002900	0	0	0	0	0	0	0	0	0
GmISU01.01G003000	0	0	0	0	0	0	0	0	0
GmISU01.01G003100	928	1128	1182	798	991	1064	815	1612	1648
GmISU01.01G003200	0	0	0	0	0	0	0	0	0
GmISU01.01G003300	21	29	32	13	26	22	38	36	34
GmISU01.01G003400	26	35	57	29	49	34	41	45	34
GmISU01.01G003500	1	0	0	0	0	0	0	0	0
GmISU01.01G003600	0	0	0	0	0	0	0	0	0
GmISU01.01G003700	0	0	0	0	0	0	0	0	0
GmISU01.01G003800	0	0	0	0	0	0	0	0	0
GmISU01.01G003900	0	0	0	0	0	0	0	0	0
GmISU01.01G004000	0	0	0	0	0	0	0	0	0
GmISU01.01G004100	0	0	0	0	0	0	0	0	0
GmISU01.01G004200	0	0	0	0	0	0	0	0	0
GmISU01.01G004300	0	0	0	0	0	0	0	0	0
GmISU01.01G004400	0	0	0	0	0	0	0	0	0
GmISU01.01G004500	0	0	0	0	0	0	0	0	0
GmISU01.01G004600	0	0	0	1	1	0	0	1	0
GmISU01.01G004700	0	0	0	0	0	0	0	0	0
GmISU01.01G004800	1	0	0	0	0	0	0	0	2
GmISU01.01G004900	0	0	0	0	0	0	0	0	0
GmISU01.01G005000	1	3	0	1	2	2	2	2	8
GmISU01.01G005100	0	1	0	0	1	0	0	0	0
GmISU01.01G005200	0	0	0	0	0	0	0	0	0
GmISU01.01G005300	52	95	56	59	49	37	79	115	125
GmISU01.01G005400	23	24	44	24	90	77	60	142	95
GmISU01.01G005500	0	0	0	0	0	0	0	0	0
GmISU01.01G005600	0	0	0	0	0	0	0	0	0
GmISU01.01G005700	0	0	0	0	0	0	0	0	0
