"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"GmISU01.02G194300.v2.1"	-3.67994490379567	11.4496823278662	106.216926701606	3.3938807690901e-07	0.000785524078352865
"GmISU01.11G086200.v2.1"	-1.98023147363719	7.19965755347483	98.832766455868	4.9596469603676e-07	0.000785524078352865
"GmISU01.20G150100.v2.1"	-3.5133964842356	5.25946627286984	90.6515698912315	7.78936243591478e-07	0.000785524078352865
"GmISU01.04G034900.v2.1"	-2.73783092928245	5.37325551771444	90.1583481615278	8.0135075577951e-07	0.000785524078352865
"GmISU01.18G107600.v2.1"	-2.93060519575969	5.32465296973704	81.8061623696185	1.32480563783489e-06	0.00102068474388655
"GmISU01.09G138900.v2.1"	-2.60861447772907	6.08640228484732	75.1229151159451	2.04916069025887e-06	0.00102068474388655
"GmISU01.13G103800.v2.1"	2.0201971761776	6.25382322092124	71.958832430786	2.54960430420913e-06	0.00102068474388655
"GmISU01.07G072700.v2.1"	-2.34836069584189	6.70014276008149	71.7058617331496	2.59547164995905e-06	0.00102068474388655
"GmISU01.08G283400.v2.1"	2.44142371782028	6.76441067940774	71.2277750479638	2.68482458362342e-06	0.00102068474388655
"GmISU01.05G144200.v2.1"	2.17592873192347	5.65578105550261	70.9893644385497	2.73072785457477e-06	0.00102068474388655
"GmISU01.13G205600.v2.1"	-1.5222658776646	7.3379731846804	70.325697606201	2.86343590480796e-06	0.00102068474388655
"GmISU01.19G183000.v2.1"	-3.81605210773215	6.98450423591822	62.913437479147	5.00373889765638e-06	0.0012707257583662
"GmISU01.07G046100.v2.1"	-2.26312905062505	6.50170525523905	60.7544439652007	5.95002941360398e-06	0.0012707257583662
"GmISU01.16G076700.v2.1"	1.96150656390129	5.77339877567913	60.6677843259952	5.99219473064535e-06	0.0012707257583662
"GmISU01.08G038800.v2.1"	2.20629137242804	5.92542574216002	60.229981391543	6.21064457329974e-06	0.0012707257583662
"GmISU01.01G097800.v2.1"	2.86100488480753	5.17374936195036	60.0720208571382	6.29174443256787e-06	0.0012707257583662
"GmISU01.04G054600.v2.1"	-2.76958459365363	5.9764798235439	60.0660947844034	6.29481106887734e-06	0.0012707257583662
"GmISU01.15G048000.v2.1"	-2.493554400255	6.19202180993781	59.840499044231	6.4128666093283e-06	0.0012707257583662
"GmISU01.07G119300.v2.1"	-3.57492598079715	7.17490650278125	59.5121326386454	6.58937413835181e-06	0.0012707257583662
"GmISU01.16G039200.v2.1"	-3.00593784136717	3.83589733816045	58.7882906422335	6.99897734766004e-06	0.0012707257583662
