genes	Bert.01	Bert.02	Bert.03	Bert.04	Bert.05	WPT0579.03	WPT641.F.3.3	WPT641.F.3.4	WPT642.F.1.3	WPT642.L.6.4	WPT642.L.9.3	WPT647.L.10.2	WPT647.L.10.3	WPT647.L.12.3	WPT648.L.7.4	WPT649.F.1.2	WPT650.L.1.3	WPT650.L.5.3	WPT651.L.3.3	WPT651.L.5.3	WPT651.L.9.1	WPT651.L.9.3	WPT652.F.9.3	WPT652.L.10.3
GmISU01.01G000300.v2.1	3.97799631049828	2.3037692472115	2.81370156868218	0.57272968899687	2.76344173346029	4.26082298348145	4.59452415900402	3.69206229412263	4.47166122407902	3.63747678452574	2.95476285573139	3.87588508017406	2.92111187309293	3.67913359043245	3.62267016802202	4.07625785952303	3.78115946296559	3.78661386317367	4.47826157270924	3.92482053534373	3.83454598555917	3.45365931340704	3.10345970041675	3.2799673025244
GmISU01.01G000500.v2.1	3.10811942907992	2.60585045928432	3.07326218251589	2.90112227640412	2.04919109782273	1.6298946005527	3.75384992525821	0.57272968899687	3.99795171469315	3.27879812119041	2.95476285573139	2.445052634644	2.59754453313717	2.39543697063866	2.3497850090877	2.41484470635077	2.31915787324576	2.75793279878383	3.66542060192001	3.05960790132756	3.24400860366067	2.96344253623085	2.76933045400146	2.25632732159959
GmISU01.01G001600.v2.1	7.58762833377496	7.39440614031018	6.49479584166026	6.74392375832111	7.9468603961865	7.87396580506574	6.00381484625084	7.10125512517181	7.21390110127495	7.16927376069265	7.5537611865061	6.74196852038144	7.38678535069174	7.00614452606514	7.1708080981689	7.14158993063758	7.07257876123139	7.16956824173486	7.33539331003919	7.09568499268366	7.48217379189955	6.74445192325664	7.14831645192362	7.15961507491093
GmISU01.01G001700.v2.1	6.32147749893612	4.47171348165907	2.09054809820182	2.45307681379115	5.49938325274862	4.26082298348145	2.45636499559248	2.84920521534319	3.12636458390941	3.46925556930028	4.73064924158137	2.0447724143693	4.60368212183174	3.52999746476075	3.3940619555058	3.5535362224332	2.31915787324576	5.56134790045917	4.6718189673315	2.29642728561976	2.97761889931696	2.21523815527069	3.60270550737779	2.25632732159959
GmISU01.01G001800.v2.1	0.57272968899687	1.39910376862308	2.49696852877966	2.45307681379115	1.49212841678519	1.6298946005527	1.49620523787929	0.57272968899687	0.57272968899687	2.80034950085533	0.57272968899687	1.48887919371599	2.59754453313717	1.45698737439224	2.3497850090877	0.57272968899687	0.57272968899687	2.75793279878383	2.97963301161355	0.57272968899687	2.22715352765532	2.21523815527069	0.57272968899687	1.64733101335847
GmISU01.01G002000.v2.1	4.6250879556698	4.22789221749487	4.99895064287316	6.11461053294841	4.41770812819247	4.26082298348145	4.51260169844655	5.21836254836264	4.47166122407902	4.63064144680331	5.45222873542338	4.00003985271722	4.69126504733453	4.4339937338581	4.41570106005151	4.54085100407769	4.96640545890282	4.60608824505025	4.128345755365	4.9354769670894	4.75731116613898	5.29874261768376	5.13945598425703	4.88047729436947
GmISU01.01G002100.v2.1	5.73383840478856	5.7029117341798	6.22764609946035	6.41355450588669	6.57912216554661	5.58816984938068	5.74147126776684	6.686419560837	5.58683144517521	6.04139035578337	6.37402312916131	6.04737761972592	5.77474085394307	5.54768693684757	6.20340263229593	5.64945123727897	6.2956302366749	5.93763913389505	5.96098132168431	6.58009346787308	6.2883866307287	5.04656989204977	6.34777234606652	6.52314441724362
GmISU01.01G002400.v2.1	0.57272968899687	1.92121495071532	0.57272968899687	0.57272968899687	0.57272968899687	2.23341956381918	3.43602455890457	2.84920521534319	3.56526935820864	2.07953631460402	2.20795203818148	3.74003115711546	3.4084098453316	3.67913359043245	1.71914354078188	2.72560648461346	3.08635606473736	2.32345284091094	2.65253810620805	1.6780116026401	2.65064317963047	3.64779799516108	0.57272968899687	0.57272968899687
GmISU01.01G002601.v2.1	5.21581658469505	6.20828259587472	7.9471307743014	3.94926001327308	5.45647073362291	5.58816984938068	7.89206027906512	5.32511814001433	7.33906562130891	6.75919702770467	5.93101095403853	6.70595657751181	5.60470251951746	6.8259154066514	5.36453603008372	5.94790322556501	5.50066667405483	6.26909497585389	6.03325853306339	5.35316632058734	5.13061344461824	7.08350949419638	4.51157251860547	5.57146314164577
GmISU01.01G003100.v2.1	11.593880308545	11.7583329008893	11.2854452431569	10.7436096630798	11.4124663093208	11.1564797182642	11.2507451425287	10.7790031935634	10.8524966234729	10.8696810485973	11.0126513786439	10.412655198638	11.1134944334709	11.3171147444479	10.9339726378083	11.1181498731118	10.7016938577158	11.4896744855256	11.0323607703291	10.7927554161832	10.8126093754605	11.1895355281463	10.8333213476422	10.6562318589988
GmISU01.01G003300.v2.1	5.46919565606158	5.73441749510121	5.11887864829381	5.84112323141706	5.54105613605752	5.89141462485653	5.27909516373828	5.32511814001433	5.96698841879518	5.21331828593286	5.93101095403853	4.65741452275898	5.06367041049149	5.33933831112809	5.84410001307009	5.72131276842362	4.96640545890282	5.85236267827309	5.37471205900242	5.15938533051182	5.80214710507739	5.17815900262462	5.95188069210685	5.6205323813269
GmISU01.01G003400.v2.1	6.11420358303778	5.63775783352879	4.72427951493813	4.42154605861776	5.45647073362291	5.26534003821021	5.22867299063389	5.72671174748318	6.12509662316444	5.74242463965602	5.34511303329446	5.0510368679046	5.30490682531876	5.62327302431406	5.5426970481651	5.3197693311171	5.75578048022609	5.4496524976048	5.25890796606527	4.56987021642368	5.31558173036525	6.51475944401724	5.62826464737886	5.03325338148986
GmISU01.01G005000.v2.1	2.77373643915664	2.85550028514463	2.81370156868218	0.57272968899687	2.04919109782273	2.23341956381918	2.054730193364	0.57272968899687	3.28796202103359	0.57272968899687	2.20795203818148	2.445052634644	1.58932025226002	2.39543697063866	1.71914354078188	2.98114837392346	0.57272968899687	2.32345284091094	0.57272968899687	0.57272968899687	2.65064317963047	0.57272968899687	2.33372555706401	1.64733101335847
GmISU01.01G005300.v2.1	6.18665453488435	7.43332314173262	7.04177102667513	5.98433772123802	6.76645171234146	7.17553417514549	7.51463821518355	7.14563088540643	7.85335183818015	7.79446328515417	7.17024770634168	7.7408361448138	7.12892956371269	7.69905835789644	6.70565376048849	7.96664466811984	7.18103634062391	6.81125042446608	7.60809259473372	7.20018736271561	7.45616243899537	7.56440893311326	6.84807652426862	7.38933116007775
GmISU01.01G005400.v2.1	6.11420358303778	7.02560495210559	5.06016045523334	6.30857428179557	6.85172010023131	7.35624758016666	7.45008466175083	6.8383418836962	7.25358249113776	7.28782516003821	6.45353129505449	7.44563769742821	6.83410591267598	7.16633825147355	6.30570631802112	6.88420306836671	6.95530001919631	7.44184022428119	7.37765061068184	6.77316294650106	6.65140801152922	7.06662431403893	6.87015776336368	6.64672979246021
GmISU01.01G005900.v2.1	0.57272968899687	1.39910376862308	1.52266684859866	1.79974255885106	0.57272968899687	1.6298946005527	2.054730193364	2.84920521534319	0.57272968899687	1.51451328931661	2.20795203818148	1.48887919371599	0.57272968899687	3.52999746476075	1.71914354078188	0.57272968899687	1.69549132409064	2.75793279878383	2.22884792165789	1.6780116026401	2.22715352765532	0.57272968899687	2.76933045400146	2.25632732159959
GmISU01.01G006000.v2.1	3.37939776096721	2.85550028514463	2.09054809820182	1.79974255885106	3.59609417888174	2.98506506229571	2.7701912965822	2.11991519112741	2.73602519294474	2.80034950085533	2.20795203818148	3.42262976254182	3.60163915876636	3.52999746476075	1.71914354078188	2.98114837392346	3.35685065564777	3.78661386317367	3.83676991667331	3.55612553815486	2.65064317963047	2.21523815527069	1.70672715232647	3.2799673025244
GmISU01.01G007800.v2.1	5.40989960097064	6.39729554988032	4.99895064287316	5.56544455173099	6.05412606696417	5.89141462485653	5.22867299063389	5.76514455586248	5.73436304761306	5.21331828593286	5.10359444893476	5.44980177562137	5.85279108243183	5.89131673465419	5.42640010442816	5.82280904562177	5.19053853596778	5.12548083786335	5.06565563703224	5.41237790483351	4.99265666877784	5.97806181534627	5.7759230322394	5.35657182214425
