"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"GmISU01.03G158700.v2.1"	-1.31494943504722	5.03978025905853	33.3688127901924	4.21838138705842e-06	0.012983504770173
"GmISU01.04G038500.v2.1"	-1.05012557967451	5.53576298898666	31.0391377736319	7.22369745371273e-06	0.012983504770173
"GmISU01.08G210000.v2.1"	-2.22269572517839	4.56384940510734	29.7397612717187	9.84966221739695e-06	0.012983504770173
"GmISU01.17G109200.v2.1"	-1.25874362153693	5.50782973937946	28.2031687281582	1.43540033826185e-05	0.012983504770173
"GmISU01.13G203400.v2.1"	-1.72336365679051	4.30351124393396	27.6846727953317	1.6340330349563e-05	0.012983504770173
"GmISU01.02G179900.v2.1"	-1.41793448845966	5.24069577946569	26.8382713502248	2.02481854574985e-05	0.012983504770173
"GmISU01.01G119400.v2.1"	-0.843609471427326	5.98860146561608	26.6725782362969	2.11251751997077e-05	0.012983504770173
"GmISU01.02G010900.v2.1"	-1.25448086735048	5.3620950389512	26.3436639095718	2.29898269502842e-05	0.012983504770173
"GmISU01.08G242101.v2.1"	-2.20968193133958	4.08786313141314	25.6215682864942	2.77361650722163e-05	0.0133232400549095
"GmISU01.05G174800.v2.1"	-0.692795932484691	7.19024561725895	24.6792700695961	3.55833561095051e-05	0.0133232400549095
"GmISU01.20G122000.v2.1"	-2.08794798139731	4.01298983556841	24.668394537759	3.56868417334264e-05	0.0133232400549095
"GmISU01.16G164200.v2.1"	-1.29040245482323	5.26951222573547	24.3661523839597	3.86966867566381e-05	0.0133232400549095
"GmISU01.06G113300.v2.1"	-1.09633272470792	5.98103626749909	24.2870564140187	3.95287918077188e-05	0.0133232400549095
"GmISU01.08G027800.v2.1"	0.530072428246468	9.36338233869011	23.6556429690152	4.69063927819397e-05	0.0133232400549095
"GmISU01.18G142300.v2.1"	-1.50397690207737	4.39315979067267	23.138564385025	5.40563091709772e-05	0.0133232400549095
"GmISU01.08G043000.v2.1"	-0.998659815580479	5.68839712856885	23.0656134712198	5.5156250372444e-05	0.0133232400549095
"GmISU01.05G011100.v2.1"	-0.833966444909251	7.07749283938643	23.0651202444027	5.51637688254975e-05	0.0133232400549095
"GmISU01.13G208500.v2.1"	-1.33273633932831	4.56172122314314	22.7650477550714	5.99495491567874e-05	0.0133232400549095
"GmISU01.18G138000.v2.1"	-1.33422344378238	4.50528864458076	22.7211605104026	6.06862531073692e-05	0.0133232400549095
"GmISU01.13G209200.v2.1"	-1.72547115993384	4.01270950526487	22.1269174305326	7.16836987785742e-05	0.0133232400549095
