GeneName	Bert-01	Bert-02	Bert-03	Bert-04	Bert-05	WTP0579-16	WTP0579-18	WTP0579-26	WTP0579-32
GmISU01.01G000050	0	0	0	0	0	0	0	0	0
GmISU01.01G000100	0	0	0	0	0	0	0	0	0
GmISU01.01G000150	0	0	0	0	0	0	0	0	0
GmISU01.01G000200	0	0	0	0	0	0	0	0	0
GmISU01.01G000300	8	3	4	0	4	3	11	13	19
GmISU01.01G000400	0	0	0	0	0	0	0	0	0
GmISU01.01G000500	4	4	5	3	2	7	2	1	0
GmISU01.01G000600	0	0	0	0	0	0	0	0	0
GmISU01.01G000700	0	0	0	0	0	0	0	0	0
GmISU01.01G000800	0	0	0	0	0	0	0	0	0
GmISU01.01G000900	0	0	0	0	0	0	0	0	0
GmISU01.01G001000	0	0	0	1	0	0	2	0	0
GmISU01.01G001100	0	0	0	0	0	0	0	0	0
GmISU01.01G001200	0	0	0	0	1	0	0	0	0
GmISU01.01G001300	0	0	3	1	0	2	0	2	0
GmISU01.01G001400	0	0	0	0	0	0	0	0	0
GmISU01.01G001500	0	0	0	0	0	0	0	0	0
GmISU01.01G001600	107	145	64	53	185	87	151	135	123
GmISU01.01G001700	44	18	2	2	33	11	22	13	25
GmISU01.01G001800	0	1	3	2	1	2	1	2	1
GmISU01.01G001900	0	0	0	0	0	0	0	0	0
GmISU01.01G002000	13	15	22	34	15	18	21	26	19
GmISU01.01G002100	29	44	53	42	71	61	57	46	53
GmISU01.01G002200	0	0	0	0	0	0	0	0	0
GmISU01.01G002300	1	2	0	0	1	0	0	2	0
GmISU01.01G002400	0	2	0	0	0	0	2	1	1
GmISU01.01G002500	1	0	0	0	0	0	1	0	0
GmISU01.01G002601	20	63	177	7	32	32	29	13	44
GmISU01.01G002700	0	0	0	0	0	0	0	0	0
GmISU01.01G002800	1	0	0	0	0	0	0	0	1
GmISU01.01G002900	0	0	0	0	0	0	0	0	0
GmISU01.01G003000	0	0	0	0	0	0	0	0	0
GmISU01.01G003100	1732	3011	1800	859	2055	1428	1202	1670	1509
GmISU01.01G003200	0	0	0	0	0	1	0	0	0
GmISU01.01G003300	24	45	24	28	34	25	39	30	32
GmISU01.01G003400	38	42	18	10	32	35	42	31	42
GmISU01.01G003500	1	0	0	0	0	0	0	0	0
GmISU01.01G003600	0	0	0	0	0	0	0	0	1
GmISU01.01G003700	0	0	0	0	0	0	0	0	0
GmISU01.01G003800	0	0	0	0	0	0	0	0	0
GmISU01.01G003900	0	0	0	0	0	0	0	0	0
GmISU01.01G004000	0	0	0	0	0	0	0	0	0
GmISU01.01G004100	0	0	0	0	0	0	0	0	0
GmISU01.01G004200	0	0	0	0	0	0	0	0	0
GmISU01.01G004300	0	0	0	0	0	0	0	0	0
GmISU01.01G004400	0	0	0	0	0	0	0	0	0
GmISU01.01G004500	0	0	0	0	0	0	0	0	0
GmISU01.01G004600	0	0	0	0	0	0	0	0	0
GmISU01.01G004700	0	0	0	0	0	0	0	0	0
GmISU01.01G004800	0	0	0	0	0	0	0	2	0
GmISU01.01G004900	0	0	0	0	0	0	0	0	0
GmISU01.01G005000	3	5	4	0	2	2	0	1	2
GmISU01.01G005100	0	0	0	0	0	0	0	0	0
GmISU01.01G005200	0	0	0	0	0	0	0	0	0
GmISU01.01G005300	40	149	94	31	81	94	65	77	81
GmISU01.01G005400	38	112	23	39	86	86	81	90	100
GmISU01.01G005500	0	0	0	0	0	0	0	0	0
GmISU01.01G005600	0	0	0	0	0	0	0	0	0
GmISU01.01G005700	0	0	2	0	0	0	0	0	0
GmISU01.01G005800	0	0	0	0	0	0	0	0	0
