"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"GmISU01.04G143400.v2.1"	-1.36212439589441	8.06667835702862	40.188806129088	4.10908524635908e-05	0.0628551897854866
"GmISU01.08G160700.v2.1"	-1.43150645125103	6.85078205942506	38.9049756719188	4.77429134772659e-05	0.0628551897854866
"GmISU01.19G032600.v2.1"	-2.58551215516848	4.32280198126053	38.5156166617231	5.00042633434012e-05	0.0628551897854866
"GmISU01.09G134700.v2.1"	-2.54679053107949	5.89669378776831	36.4384687912811	6.44173095418771e-05	0.0628551897854866
"GmISU01.08G210000.v2.1"	-2.43843288730021	4.22223615336581	34.3891715621625	8.36391904572277e-05	0.065288752070912
"GmISU01.01G015400.v2.1"	-1.82297620943366	6.95061160646346	31.8744489737722	0.000117189187923737	0.0754458908340074
"GmISU01.14G001000.v2.1"	-1.22065442224599	5.36888267988301	30.5473908912883	0.000141170123614472	0.0754458908340074
"GmISU01.01G080000.v2.1"	-3.13810125328314	4.77996316444298	29.2746428672814	0.000169743960391384	0.0754458908340074
"GmISU01.01G135800.v2.1"	-1.70858484548053	5.58815205860994	29.1077844646233	0.000173972077249825	0.0754458908340074
"GmISU01.05G051200.v2.1"	-1.44076331369522	5.81317899195921	25.045511814108	0.00032780930194135	0.127943970547709
"GmISU01.09G143100.v2.1"	-1.63201061088768	4.16509900693776	24.3287647256641	0.000369352363036928	0.131052933903012
"GmISU01.16G164200.v2.1"	-1.35340599244724	4.95833775725381	22.3784468002268	0.000517717777847985	0.160760109487476
"GmISU01.05G174800.v2.1"	-0.926378216973438	7.11025512901854	22.1900450646206	0.000535455143053342	0.160760109487476
"GmISU01.04G094700.v2.1"	-1.70079388503314	4.90626102380429	20.8943300793033	0.000678757416193838	0.189227871100325
"GmISU01.02G010900.v2.1"	-1.17169570047911	4.97398148522463	18.8399459973066	0.00100972119981644	0.22260314431336
"GmISU01.01G119400.v2.1"	-1.01308175840608	5.83899169090462	18.51868097076	0.00107716504106014	0.22260314431336
"GmISU01.08G133400.v2.1"	-0.882465310994347	7.34614645551112	18.5021653936232	0.00108077273463283	0.22260314431336
"GmISU01.07G154900.v2.1"	-1.86206115949166	4.07094421319595	18.2651136842414	0.00113415020297947	0.22260314431336
"GmISU01.12G098100.v2.1"	-1.84363863381983	4.51134108583808	17.9812511142933	0.00120219243361899	0.22260314431336
"GmISU01.11G147100.v2.1"	-1.37516219699972	6.6910793266833	17.9384792227661	0.00121285525498693	0.22260314431336
