genes	logFC	logCPM	F	PValue	FDR
GmISU01.02G194300.v2.1	-3.73158514623643	11.4347637067225	117.193786609687	4.12975577205028e-09	3.64037971306232e-05
GmISU01.20G150100.v2.1	-3.57046156187373	5.24879755522398	87.3621289720408	3.65849282932068e-08	0.000116010990818457
GmISU01.04G034900.v2.1	-2.79554037184571	5.35657689066479	79.7744487183646	7.04925714687742e-08	0.000116010990818457
GmISU01.11G086200.v2.1	-2.03342141509733	7.17761983815303	79.5813914770452	7.17268482465894e-08	0.000116010990818457
GmISU01.18G107600.v2.1	-2.98305347613511	5.30691462182789	78.4783265521049	7.92588690125908e-08	0.000116010990818457
GmISU01.19G183000.v2.1	-3.86835776786522	6.97384316381173	78.26857803132	8.07888156980888e-08	0.000116010990818457
GmISU01.09G138900.v2.1	-2.6644708842223	6.07045390585783	76.1662104273973	9.8087610038511e-08	0.000116010990818457
GmISU01.07G072700.v2.1	-2.40122659901889	6.67845125037597	75.1122094851155	1.0828913771415e-07	0.000116010990818457
GmISU01.07G119300.v2.1	-3.63038222020019	7.16384032058131	74.1676282405321	1.18445708152707e-07	0.000116010990818457
GmISU01.18G115400.v2.1	-4.36654152982184	5.20646125193035	69.373545322494	1.89512381896174e-07	0.000167055164641477
GmISU01.04G054600.v2.1	-2.8257117133733	5.96091768049594	67.0271210997593	2.40858285494829e-07	0.000183107858987293
GmISU01.08G283400.v2.1	2.38600381091378	6.70786577327016	65.6453111901869	2.78270552908503e-07	0.000183107858987293
GmISU01.15G048000.v2.1	-2.55296265271932	6.1753433467611	65.1174218872867	2.94241157715721e-07	0.000183107858987293
GmISU01.14G032100.v2.1	-2.43454270835057	8.5328728448721	64.6330484231002	3.09799730061368e-07	0.000183107858987293
GmISU01.04G021800.v2.1	-3.80669035362268	5.97132147900768	64.1048955630455	3.27819754708297e-07	0.000183107858987293
GmISU01.07G046100.v2.1	-2.32055973770258	6.48278774121188	63.9770166035973	3.32356862597469e-07	0.000183107858987293
GmISU01.09G148300.v2.1	-5.14689878600419	3.99777193514181	57.437165529986	6.92428333362066e-07	0.000359044456387448
GmISU01.15G068600.v2.1	-2.08002677503945	6.57846300497443	56.6573969612868	7.59043898997676e-07	0.000360685896068408
GmISU01.12G162000.v2.1	-2.57353899303884	9.74760796565283	56.4556008376854	7.77428477061799e-07	0.000360685896068408
GmISU01.06G151950.v2.1	2.32024574109071	6.19037279714432	54.6380400904584	9.67394431882718e-07	0.000426379095852308
GmISU01.03G121800.v2.1	-3.02914609941488	4.71656557040449	53.538659321671	1.10720387493854e-06	0.00044371894498428
GmISU01.13G103800.v2.1	1.96282613334749	6.20107028903104	53.537157111822	1.1074097322353e-06	0.00044371894498428
GmISU01.11G089200.v2.1	-3.20891914778738	6.97648001952574	53.1596928490815	1.16051682907954e-06	0.000444780689058095
GmISU01.13G205600.v2.1	-1.57361494921502	7.31367993847507	51.7843129242137	1.37952720982908e-06	0.000472127251925179
GmISU01.01G097800.v2.1	2.80404722600056	5.11818999875812	51.52387689693	1.42599765196805e-06	0.000472127251925179
GmISU01.15G036300.v2.1	-3.16105823252641	5.17938147905187	51.2180269881267	1.48281722930018e-06	0.000472127251925179
GmISU01.05G144200.v2.1	2.12082081651114	5.60381372768336	51.1586951841239	1.49412995223928e-06	0.000472127251925179
GmISU01.08G038800.v2.1	2.1459660842099	5.86898209182167	51.1298385241862	1.49966682403914e-06	0.000472127251925179
GmISU01.10G119900.v2.1	-2.00005504184902	6.8317392647805	50.2889968418788	1.67151433269449e-06	0.000504284247186104
GmISU01.07G193500.v2.1	2.85274061367376	5.06202777897431	50.0860044771103	1.71622545837585e-06	0.000504284247186104
GmISU01.08G252100.v2.1	-2.31728022187064	5.36106638600071	49.0169748263143	1.97486893182835e-06	0.000561563536582803
GmISU01.08G284800.v2.1	-2.70429735788521	4.97787835758462	47.533121842489	2.40905892065731e-06	0.00066362044954982
GmISU01.18G070300.v2.1	-2.00382390806744	13.0030169469495	46.299485425128	2.85205467485332e-06	0.000749744842593495
GmISU01.10G041500.v2.1	-2.24410098373707	6.77966677579709	45.9656001568077	2.98710317001461e-06	0.000749744842593495
GmISU01.18G190300.v2.1	-1.93525866169741	7.17304999571231	45.6491203710931	3.12173364371396e-06	0.000749744842593495
GmISU01.20G076200.v2.1	-2.25192348951128	6.35754540076874	45.606290865351	3.14046836740611e-06	0.000749744842593495
GmISU01.06G214101.v2.1	-2.81407480607032	4.55206344740775	45.5914893121036	3.14697211298461e-06	0.000749744842593495
GmISU01.03G152600.v2.1	-1.717497623158	8.02137299046151	45.0031354918429	3.41808989725217e-06	0.000792906906428365
GmISU01.16G076700.v2.1	1.90798630543698	5.72207798297684	44.5779026403733	3.63028437607072e-06	0.000817469255547321
GmISU01.15G202400.v2.1	1.89939096187861	5.88491319132913	44.4263268322629	3.7094464233571e-06	0.000817469255547321
GmISU01.06G182200.v2.1	1.6572827762017	6.81046545013205	44.2218112594025	3.819329420549e-06	0.000821155825418034
GmISU01.11G033700.v2.1	-1.70297198467651	6.89632628260135	43.7560393170155	4.08340841820241e-06	0.000836313869790645
GmISU01.01G008300.v2.1	2.24870756111332	5.16431961489208	43.7008854374479	4.11600702847215e-06	0.000836313869790645
GmISU01.03G160100.v2.1	-3.24832992638697	6.70426047096523	43.6032095015126	4.17445380269862e-06	0.000836313869790645
GmISU01.05G011100.v2.1	1.8958729600339	6.94636696588939	43.1627676844536	4.44977440898896e-06	0.000871661364783059
GmISU01.04G060800.v2.1	-2.71419742551379	6.42661507838086	42.8653927957159	4.64711997689743e-06	0.000889107827033146
GmISU01.02G188500.v2.1	-1.95894142907025	5.53361781681451	42.7294670788215	4.74056357011433e-06	0.000889107827033146
GmISU01.02G066300.v2.1	-2.30683707448301	4.82817560825617	42.2675898021954	5.07411882888163e-06	0.000918604271168029
GmISU01.05G159200.v2.1	-1.83944229049477	6.77512157860988	42.2248954833795	5.10625176259029e-06	0.000918604271168029
GmISU01.09G181700.v2.1	-4.28301625234907	4.39655371457458	41.7520881044327	5.47771216713792e-06	0.000965720655066415
GmISU01.13G169800.v2.1	1.92820946966099	7.63655921456485	41.3646014315681	5.80471287481263e-06	0.000996429378174793
GmISU01.06G018400.v2.1	1.77023405448706	6.1209783343628	41.187541212577	5.96134642694799e-06	0.000996429378174793
GmISU01.04G031600.v2.1	-2.06205848305261	5.31247604831455	41.1545941166682	5.99101044166353e-06	0.000996429378174793
GmISU01.08G189000.v2.1	2.16275608806119	8.42903094553395	40.8204732759769	6.30133264681824e-06	0.00102863420892042
GmISU01.04G143400.v2.1	1.86544355661587	7.35194429046875	40.6095542026247	6.50645574199458e-06	0.00104280740664877
GmISU01.05G180500.v2.1	-1.83658884667332	5.09600111109537	39.6794745355624	7.50448476612827e-06	0.00118128630738251
GmISU01.08G092600.v2.1	-1.98270245471972	5.41328093220955	39.3615944844992	7.88392193617283e-06	0.00120335749584127
GmISU01.09G023400.v2.1	1.75300068658017	7.43977526920309	39.3341088528225	7.91772373894426e-06	0.00120335749584127
GmISU01.16G039200.v2.1	-3.06216459610498	3.81261202396598	38.9364529922078	8.42532013233427e-06	0.00124440975214763
GmISU01.08G119500.v2.1	-1.92435928110771	5.41951388536577	38.8051691056574	8.60080183075628e-06	0.00124440975214763
GmISU01.12G088700.v2.1	2.06008625332649	5.91718871393343	38.7171195839027	8.72078021178711e-06	0.00124440975214763
GmISU01.07G015800.v2.1	-1.95916506356326	6.02115515908054	38.5557523503339	8.94554668245792e-06	0.00124440975214763
GmISU01.11G103900.v2.1	2.60561010602173	5.23183322728952	38.4421869907375	9.10760937597695e-06	0.00124440975214763
GmISU01.20G085000.v2.1	-2.10229910639197	5.6815137339886	38.3594010718953	9.2278153364925e-06	0.00124440975214763
GmISU01.17G087800.v2.1	2.14390498318684	5.47716379957511	38.3135915619825	9.2950921231936e-06	0.00124440975214763
GmISU01.08G194000.v2.1	-2.22122337938342	4.77504356854575	38.2986245656505	9.31719156457671e-06	0.00124440975214763
GmISU01.04G016100.v2.1	1.91062505685457	6.63293222327183	38.0303884357077	9.72337498586173e-06	0.00125193792024791
GmISU01.04G057000.v2.1	1.49621649153109	6.83089765998502	38.0260015223774	9.73018034611344e-06	0.00125193792024791
GmISU01.08G223600.v2.1	-2.50372188867357	5.50451438073063	37.8545402478513	1.00003800168438e-05	0.00125193792024791
GmISU01.03G120800.v2.1	-2.01253991661503	5.95697598209124	37.8327295329962	1.00353476119593e-05	0.00125193792024791
GmISU01.01G016300.v2.1	-1.44612874262553	9.09185837768792	37.8027252994288	1.00836746837892e-05	0.00125193792024791
GmISU01.10G110700.v2.1	-1.49356461783017	9.62426187595351	37.4651207202746	1.06457445838018e-05	0.0013033644236974
GmISU01.09G119500.v2.1	1.80748706187826	6.03892870346029	37.1179671408061	1.12604695365749e-05	0.00135974025979325
GmISU01.14G037700.v2.1	1.43123454289334	8.46308752838862	36.7761280415996	1.19047769622408e-05	0.00141811633678585
GmISU01.03G094200.v2.1	-2.12302413704208	6.55674276874749	36.5715599909576	1.2309995710173e-05	0.00144683482913566
GmISU01.06G136300.v2.1	-1.89758544367276	5.72491249462466	36.4543689040421	1.25490615950049e-05	0.00144876927331524
GmISU01.19G000500.v2.1	2.80326267157259	4.80215078755638	36.403155607567	1.26551598463157e-05	0.00144876927331524
GmISU01.10G052300.v2.1	-1.50859352487145	7.56355478757519	36.1776397418189	1.31344351607802e-05	0.00148435956336253
GmISU01.17G152650.v2.1	2.65978635839037	7.92243727839683	36.0582095779164	1.33964418470434e-05	0.00149480550483149
GmISU01.05G054600.v2.1	2.0777428493406	5.71138481333687	35.422162831914	1.48939772362252e-05	0.00164113011671656
GmISU01.08G232300.v2.1	-1.9108476148102	5.21905618346233	34.9741850968356	1.6060919668917e-05	0.0017478642824877
GmISU01.05G029600.v2.1	-2.41005474596365	4.93095147422691	34.7966175837375	1.65514522725939e-05	0.00177928111930384
GmISU01.03G004800.v2.1	3.26815693533297	4.36855028483263	34.3250594965472	1.79373926958106e-05	0.00190503754956109
GmISU01.07G175000.v2.1	-1.22631366206622	7.83941564538725	34.1834908496196	1.83784265484971e-05	0.00191992763619182
GmISU01.04G036400.v2.1	1.81262775089743	5.54686856472916	34.0853865111117	1.86911594874373e-05	0.00191992763619182
GmISU01.04G051100.v2.1	-1.79048296199682	9.3245920699973	34.073019947313	1.87310013287006e-05	0.00191992763619182
GmISU01.05G151400.v2.1	-1.43867206421064	6.1878122487349	33.6466563296581	2.0164420693248e-05	0.00204309618863197
GmISU01.15G091600.v2.1	-3.7354103530617	6.72030619586802	33.2417171811465	2.16401252586086e-05	0.00215104898707814
GmISU01.13G235800.v2.1	-2.96645486750966	3.9956470600238	33.2212358983217	2.17179080941525e-05	0.00215104898707814
GmISU01.07G019600.v2.1	-2.59223019857824	4.26990469190441	33.1527279842289	2.19803628716373e-05	0.00215285443014981
GmISU01.18G069700.v2.1	1.46982396379274	7.33246007377168	33.0804989704032	2.22609172798309e-05	0.00215637347056823
GmISU01.12G009700.v2.1	1.68645781713036	5.4786521650247	32.9744722387183	2.26800257398018e-05	0.00217309159669949
GmISU01.03G124400.v2.1	-1.88781243964632	4.85364375029438	32.7564594121647	2.35697894222904e-05	0.00223406122319881
GmISU01.08G159500.v2.1	2.03058221642548	5.54972135509253	32.6481484613822	2.40262837056236e-05	0.00225310309430928
GmISU01.02G093200.v2.1	1.63054991399384	6.16827845966297	32.1428623282183	2.62906371497109e-05	0.00243949438394423
GmISU01.07G154400.v2.1	3.07977485504615	4.59973891749951	31.8630822196685	2.764637496803e-05	0.00253857078482484
GmISU01.17G038400.v2.1	-1.92599642302818	5.67445310643805	31.7902778783808	2.80118523611473e-05	0.00254561318106715
GmISU01.13G131200.v2.1	-1.36704585077498	6.15755155207909	31.6785805420212	2.85831141473736e-05	0.00257102195111325
GmISU01.20G088400.v2.1	1.67914524114807	5.68062664384538	31.5738049029962	2.91308304912219e-05	0.00259382091697092
